,feature,tfidf,feature,tfidf,feature,tfidf
0,experience god word,0.008487126710412114,election jesus christ,0.08511926058153521,prophecy jesus christ,0.00510319956541624
1,father son spirit,0.00830151208225371,decretum absolutum note,0.030113251657589803,divine world governance,0.004582865267215346
2,ex virgine note,0.0071161943051449615,ῥυόμενος note zion,0.0,command human action,0.00398849509832296
3,bible word god,0.006138576652660871,fact follow end,0.0,man soul body,0.003582556957878974
4,views concepts words,0.005668854300130891,fact faith directed,0.0,divine human essence,0.0034910864649421187
5,reality jesus christ,0.004958228160110748,fact fall sin,0.0,true church law,0.0033600269296427546
6,subjective reality revelation,0.004651130622151646,fact false israel,0.0,history jesus christ,0.0031669742873846178
7,work activity god,0.004605528677210594,fact far merely,0.0,divine command human,0.003134940701800522
8,natus ex virgine,0.00457469633902176,fact fatal outset,0.0,christian belief providence,0.0030260377039404694
9,witness divine revelation,0.004568243090352276,fact favour way,0.0,near distant neighbours,0.0029509341138231927
10,man ready god,0.004492886444796273,fact final determination,0.0,doctrine infant baptism,0.0026947910197920822
11,divine sign giving,0.004300198262819667,fact final divine,0.0,god son man,0.0025594552455949224
12,knowledge god word,0.004295496406294227,fact final word,0.0,body soul body,0.0025272313185690635
13,truth christian religion,0.004236854777147691,fact finally turns,0.0,purpose divine judgment,0.002507313606585801
14,vere homo note,0.004235829943538667,fact finds necessarily,0.0,community jesus christ,0.002482346856921338
15,commandment love neighbour,0.004207181817902989,fact finds seen,0.0,execution divine judgment,0.00245265348517882
16,root doctrine trinity,0.0041942663306568494,fact follow presumptuous,0.0,man fellow man,0.0024260488695037196
17,knowability word god,0.004140061809957129,fact gives picture,0.0,soul body soul,0.0024219300136286855
18,content word god,0.0036654444303800084,fact follows necessarily,0.0,earthly historical form,0.0023964421080098952
19,statement christ deity,0.003562189962791122,fact forced clearly,0.0,humanity fellow man,0.0023754646853095065
20,experience word god,0.0035190525384635593,fact freely shows,0.0,witness jesus christ,0.002366418805163699
21,god past revelation,0.0034585687505232316,fact fulfil accomplish,0.0,son god son,0.0022901866263575882
22,freedom word god,0.0033666463464100266,fact fulfil distinctive,0.0,man reconciled god,0.002234093836945293
23,god gives known,0.003309848196540826,fact fulfilment certain,0.0,communio sanctorum note,0.002230080650731311
24,thou shalt love,0.0032743474828649277,fact fundamentally election,0.0,creaturely action abstention,0.0022085825476595767
25,knowledge word god,0.0031848388036887377,fact future according,0.0,divine gift answer,0.0021617288996298805
26,veracity revelation god,0.0031276437517963537,fact future israel,0.0,god created heaven,0.002135604242576728
27,god love neighbour,0.0031106301087216815,fact gentile christians,0.0,fact serve attest,0.0
28,commandment love god,0.0031096561262761225,fact gentiles gentiles,0.0,fact serve god,0.0
29,τοῦ υἱοῦ note,0.0030927012500445907,fact gentiles having,0.0,fact severely hampered,0.0
30,word god preached,0.0030743496530332903,fact genuine problem,0.0,fact seventh day,0.0
31,spiritu sancto note,0.0030329121337456704,fact given assumes,0.0,fact sets wrong,0.0
32,real knowledge god,0.0030168902417714877,fact fact false,0.0,fact sets world,0.0
33,multiplicity individuality diversity,0.0029958904746691588,fact fact content,0.0,fact short prayer,0.0
34,ad extra note,0.002986527858959954,fact face value,0.0,fact sets man,0.0
35,event act life,0.002979871629799842,fact face non,0.0,fact sets existence,0.0
36,scientia media note,0.0029605989794481654,fact eternity willed,0.0,fact shown accompanying,0.0
37,father read introduction,0.0,fact evangelists testify,0.0,fact set train,0.0
38,father si charitas,0.0,fact event taken,0.0,fact set span,0.0
39,father shows negatively,0.0,fact eventually came,0.0,fact set slightest,0.0
40,father set relation,0.0,fact evil willed,0.0,fact shown cosmos,0.0
41,father pure giver,0.0,fact excepting intended,0.0,fact set new,0.0
42,father question revelation,0.0,fact exclusively function,0.0,fact shown superfluous,0.0
43,father quite different,0.0,fact exercise right,0.0,fact short life,0.0
44,father set like,0.0,fact exist remnant,0.0,fact servant god,0.0
45,father raised dead,0.0,fact existence cases,0.0,fact set aside,0.0
46,father seen thomas,0.0,fact existence synagogue,0.0,fact set abstract,0.0
47,father reality divine,0.0,fact existence witness,0.0,fact set absolute,0.0
48,father proof prescription,0.0,fact experience excites,0.0,fact serve apostles,0.0
49,father reality god,0.0,fact experience inevitable,0.0,fact service christ,0.0
